Date,StockPrice
2023-01-01,100.0
2023-01-02,102.04298225042507
2023-01-03,102.41452285663225
2023-01-04,100.88749569474726
2023-01-05,101.22437285116145
2023-01-06,100.50875980206466
2023-01-07,101.64992691136258
2023-01-08,100.98992206124232
2023-01-09,104.65694077451508
2023-01-10,104.9277050600522
2023-01-11,106.4637968507259
2023-01-12,106.81328640983381
2023-01-13,108.51033066178267
2023-01-14,110.63486200936627
2023-01-15,110.62813383739727
2023-01-16,112.10237880126009
2023-01-17,112.42233214471423
2023-01-18,114.08070268910164
2023-01-19,113.49918473614494
2023-01-20,116.54831805213651
2023-01-21,119.03494060968396
2023-01-22,119.98769808358499
2023-01-23,118.06780478512934
2023-01-24,119.29509456327966
2023-01-25,118.9348222288827
2023-01-26,119.6583797232668
2023-01-27,118.54272474703875
2023-01-28,117.51576806740599
2023-01-29,119.74750705436504
2023-01-30,119.27818404872659
2023-01-31,118.16854311290574
2023-02-01,115.10238267602956
2023-02-02,115.07646970976505
2023-02-03,116.78056647467149
2023-02-04,115.48417544620102
2023-02-05,113.8431949170928
2023-02-06,114.3724268035716
2023-02-07,116.16419279040637
2023-02-08,113.83074143895362
2023-02-09,113.1269359273062
2023-02-10,113.44226553904517
2023-02-11,113.15952916747798
2023-02-12,113.06395119213632
2023-02-13,112.12586851348975
2023-02-14,113.40769585691368
2023-02-15,114.67875962006892
2023-02-16,115.19876789348552
2023-02-17,116.02485675741492
2023-02-18,115.84309099384971
2023-02-19,117.91211173738981
2023-02-20,117.74686751665209
2023-02-21,114.48534681271403
2023-02-22,115.02870785902493
2023-02-23,114.62289428831383
2023-02-24,113.56552100110169
2023-02-25,113.70093008388673
2023-02-26,113.04502085904524
2023-02-27,112.01007787634585
2023-02-28,111.65347873118263
2023-03-01,107.41479425172227
2023-03-02,106.8595321541104
2023-03-03,108.03223417626113
2023-03-04,106.22357386854773
2023-03-05,106.0445713388929
2023-03-06,104.65354767526271
2023-03-07,103.32812106324312
2023-03-08,103.94272584764283
2023-03-09,103.36341112835302
2023-03-10,104.52835020298649
2023-03-11,103.08111658358315
2023-03-12,104.56666134320325
2023-03-13,104.24084618776314
2023-03-14,102.52877515320522
2023-03-15,102.60498649490648
2023-03-16,101.25179595052217
2023-03-17,102.04377378366019
2023-03-18,104.03555272979465
2023-03-19,104.6175297817608
2023-03-20,106.17404370411147
2023-03-21,105.77784405881678
2023-03-22,103.20477872525848
2023-03-23,100.59295543628227
2023-03-24,98.5790730115925
2023-03-25,97.84476216515384
2023-03-26,97.84097177697573
2023-03-27,97.48286397565457
2023-03-28,99.11622539192396
2023-03-29,101.92200963366213
2023-03-30,99.77452119486495
2023-03-31,98.10674013048015
2023-04-01,98.39530852224355
2023-04-02,96.95884048074987
2023-04-03,97.58545326570905
2023-04-04,97.97362083576137
2023-04-05,98.85537152772673
2023-04-06,98.92986019962792
2023-04-07,98.74053753895669
2023-04-08,101.66966293645007
2023-04-09,100.03361594301217
2023-04-10,99.36368763767362
2023-04-11,97.70159678548973
2023-04-12,97.9794995773415
2023-04-13,97.833887914709
2023-04-14,97.91438286750657
2023-04-15,95.05375289242676
2023-04-16,97.00030846214355
2023-04-17,98.68607343625956
2023-04-18,98.05490012389629
2023-04-19,99.13245785929827
2023-04-20,99.70664131750604
2023-04-21,100.49157418347556
2023-04-22,100.19700184934395
2023-04-23,99.75779319655851
2023-04-24,99.49847495623487
2023-04-25,102.51876011666097
2023-04-26,102.9497610093139
2023-04-27,100.72418441355686
2023-04-28,101.0874640432464
2023-04-29,101.48681322931712
2023-04-30,102.84636210852553
2023-05-01,101.8367442354042
2023-05-02,102.50489255468906
2023-05-03,104.2316664636862
2023-05-04,104.3404763672112
2023-05-05,106.95884741454785
2023-05-06,107.002430914872
2023-05-07,103.41290873841604
2023-05-08,102.52144809504465
2023-05-09,103.23352738643636
2023-05-10,104.17008511885145
2023-05-11,101.7317380404297
2023-05-12,101.4428936048259
2023-05-13,101.57357308785916
2023-05-14,101.98451569766074
2023-05-15,103.67646681681018
2023-05-16,103.89652018958046
2023-05-17,102.87520501571422
2023-05-18,101.00398162193615
2023-05-19,99.8234145317873
2023-05-20,98.67457999173283
2023-05-21,98.81132197661317
2023-05-22,100.02461588678848
2023-05-23,101.2251985148632
2023-05-24,100.33455838804086
2023-05-25,100.1461935066624
2023-05-26,100.19782853295128
2023-05-27,100.13058595892144
2023-05-28,102.34921190620386
2023-05-29,102.49658426281367
2023-05-30,103.2047297883797
2023-05-31,102.34200161590388
2023-06-01,103.4914989823931
2023-06-02,104.48238852934554
2023-06-03,104.1395410858163
2023-06-04,103.70418085052486
2023-06-05,100.69669892412098
2023-06-06,99.00634333333433
2023-06-07,100.84512786663412
2023-06-08,99.98003559982904
2023-06-09,101.2430996956197
2023-06-10,101.37529209520285
2023-06-11,101.72617736906273
2023-06-12,100.06245354605679
2023-06-13,99.07774963734362
2023-06-14,100.70984657501248
2023-06-15,99.60569839216583
2023-06-16,100.17745968473017
2023-06-17,99.68120859039125
2023-06-18,98.18132259875536
2023-06-19,96.8368279235838
2023-06-20,97.36600433547002
2023-06-21,98.17739181780989
2023-06-22,96.41004603280936
2023-06-23,94.78531302339394
2023-06-24,96.41910588307749
2023-06-25,97.99109548627995
2023-06-26,99.35092351649457
2023-06-27,100.74718085509647
2023-06-28,101.7840514612876
2023-06-29,101.63080390257565
2023-06-30,100.98838618245027
2023-07-01,99.97695502748448
2023-07-02,100.64909525202482
2023-07-03,100.76794752922014
2023-07-04,103.60160453069692
2023-07-05,102.78603336109175
2023-07-06,103.44114103642876
2023-07-07,103.73397268420807
2023-07-08,106.36735840063031
2023-07-09,108.00440432997065
2023-07-10,108.19069649717886
2023-07-11,107.20977281768461
2023-07-12,105.16742336785734
2023-07-13,104.97612258483572
2023-07-14,107.60296384936262
2023-07-15,106.9344167589761
2023-07-16,106.30180252791457
2023-07-17,107.23879530465884
2023-07-18,105.87006325991115
2023-07-19,107.23411950622965
2023-07-20,108.49603625697318
2023-07-21,109.14479351937747
2023-07-22,108.74931940215238
2023-07-23,107.18797387857443
2023-07-24,105.55987306837906
2023-07-25,104.40586510729993
2023-07-26,103.35984552616432
2023-07-27,101.89978501736447
2023-07-28,102.42112615942666
2023-07-29,103.98789337565783
2023-07-30,105.8594619124537
2023-07-31,105.29528694327853
2023-08-01,105.30039704207246
2023-08-02,105.36600436983728
2023-08-03,107.16474994725556
2023-08-04,107.54449327907943
2023-08-05,110.33696998549671
2023-08-06,111.44202900331538
2023-08-07,110.06189688527682
2023-08-08,111.6670173141449
2023-08-09,113.78275878413743
2023-08-10,115.81346781220068
2023-08-11,116.3389242896138
2023-08-12,115.24563673236591
2023-08-13,114.40431083578459
2023-08-14,113.77852580755705
2023-08-15,114.53739393264011
2023-08-16,115.20910566875568
2023-08-17,115.65857313051507
